Bin (cents); Number of Annotations (#)
1228.5;0
1231.5;0
1234.5;0
1237.5;0
1240.5;0
1243.5;0
1246.5;0
1249.5;0
1252.5;0
1255.5;0
1258.5;0
1261.5;0
1264.5;0
1267.5;0
1270.5;0
1273.5;0
1276.5;0
1279.5;0
1282.5;0
1285.5;0
1288.5;0
1291.5;0
1294.5;0
1297.5;0
1300.5;0
1303.5;0
1306.5;0
1309.5;0
1312.5;0
1315.5;0
1318.5;0
1321.5;0
1324.5;0
1327.5;0
1330.5;0
1333.5;0
1336.5;0
1339.5;0
1342.5;0
1345.5;0
1348.5;0
1351.5;0
1354.5;0
1357.5;0
1360.5;0
1363.5;0
1366.5;0
1369.5;0
1372.5;0
1375.5;0
1378.5;0
1381.5;0
1384.5;0
1387.5;0
1390.5;0
1393.5;0
1396.5;0
1399.5;0
1402.5;0
1405.5;0
1408.5;0
1411.5;0
1414.5;0
1417.5;0
1420.5;0
1423.5;0
1426.5;0
1429.5;0
1432.5;0
1435.5;0
1438.5;0
1441.5;0
1444.5;0
1447.5;0
1450.5;0
1453.5;0
1456.5;0
1459.5;0
1462.5;0
1465.5;0
1468.5;0
1471.5;0
1474.5;0
1477.5;0
1480.5;0
1483.5;0
1486.5;0
1489.5;0
1492.5;0
1495.5;0
1498.5;0
1501.5;0
1504.5;0
1507.5;0
1510.5;0
1513.5;0
1516.5;0
1519.5;0
1522.5;0
1525.5;0
1528.5;0
1531.5;0
1534.5;0
1537.5;0
1540.5;0
1543.5;0
1546.5;0
1549.5;0
1552.5;0
1555.5;0
1558.5;0
1561.5;0
1564.5;0
1567.5;0
1570.5;0
1573.5;0
1576.5;0
1579.5;0
1582.5;0
1585.5;0
1588.5;0
1591.5;0
1594.5;0
1597.5;0
1600.5;0
1603.5;0
1606.5;0
1609.5;0
1612.5;0
1615.5;0
1618.5;0
1621.5;0
1624.5;0
1627.5;0
1630.5;0
1633.5;0
1636.5;0
1639.5;0
1642.5;0
1645.5;0
1648.5;0
1651.5;0
1654.5;0
1657.5;0
1660.5;0
1663.5;0
1666.5;0
1669.5;0
1672.5;0
1675.5;0
1678.5;0
1681.5;0
1684.5;0
1687.5;0
1690.5;0
1693.5;0
1696.5;0
1699.5;0
1702.5;0
1705.5;0
1708.5;0
1711.5;0
1714.5;0
1717.5;0
1720.5;0
1723.5;0
1726.5;0
1729.5;0
1732.5;0
1735.5;0
1738.5;0
1741.5;0
1744.5;0
1747.5;0
1750.5;0
1753.5;0
1756.5;0
1759.5;0
1762.5;0
1765.5;0
1768.5;0
1771.5;0
1774.5;0
1777.5;0
1780.5;0
1783.5;0
1786.5;0
1789.5;0
1792.5;0
1795.5;0
1798.5;0
1801.5;0
1804.5;0
1807.5;0
1810.5;0
1813.5;0
1816.5;0
1819.5;0
1822.5;0
1825.5;0
1828.5;0
1831.5;0
1834.5;0
1837.5;0
1840.5;0
1843.5;0
1846.5;0
1849.5;0
1852.5;0
1855.5;0
1858.5;0
1861.5;0
1864.5;0
1867.5;0
1870.5;0
1873.5;0
1876.5;0
1879.5;0
1882.5;0
1885.5;0
1888.5;0
1891.5;0
1894.5;0
1897.5;0
1900.5;0
1903.5;0
1906.5;0
1909.5;0
1912.5;0
1915.5;0
1918.5;0
1921.5;0
1924.5;0
1927.5;0
1930.5;0
1933.5;0
1936.5;0
1939.5;0
1942.5;0
1945.5;0
1948.5;0
1951.5;0
1954.5;0
1957.5;0
1960.5;0
1963.5;0
1966.5;0
1969.5;0
1972.5;0
1975.5;0
1978.5;0
1981.5;0
1984.5;0
1987.5;0
1990.5;0
1993.5;0
1996.5;0
1999.5;0
2002.5;0
2005.5;0
2008.5;0
2011.5;0
2014.5;0
2017.5;0
2020.5;0
2023.5;0
2026.5;0
2029.5;0
2032.5;0
2035.5;0
2038.5;0
2041.5;0
2044.5;0
2047.5;0
2050.5;0
2053.5;0
2056.5;0
2059.5;0
2062.5;0
2065.5;0
2068.5;0
2071.5;0
2074.5;0
2077.5;0
2080.5;0
2083.5;0
2086.5;0
2089.5;0
2092.5;0
2095.5;0
2098.5;0
2101.5;0
2104.5;0
2107.5;0
2110.5;0
2113.5;0
2116.5;0
2119.5;0
2122.5;0
2125.5;0
2128.5;0
2131.5;0
2134.5;0
2137.5;0
2140.5;0
2143.5;0
2146.5;0
2149.5;0
2152.5;0
2155.5;0
2158.5;0
2161.5;0
2164.5;0
2167.5;0
2170.5;0
2173.5;0
2176.5;0
2179.5;0
2182.5;0
2185.5;0
2188.5;0
2191.5;0
2194.5;0
2197.5;0
2200.5;0
2203.5;0
2206.5;0
2209.5;0
2212.5;0
2215.5;0
2218.5;0
2221.5;0
2224.5;0
2227.5;0
2230.5;0
2233.5;0
2236.5;0
2239.5;0
2242.5;0
2245.5;0
2248.5;0
2251.5;0
2254.5;0
2257.5;0
2260.5;0
2263.5;0
2266.5;0
2269.5;0
2272.5;0
2275.5;0
2278.5;0
2281.5;0
2284.5;0
2287.5;0
2290.5;0
2293.5;0
2296.5;0
2299.5;0
2302.5;0
2305.5;0
2308.5;0
2311.5;0
2314.5;0
2317.5;0
2320.5;0
2323.5;0
2326.5;0
2329.5;0
2332.5;0
2335.5;0
2338.5;0
2341.5;0
2344.5;0
2347.5;0
2350.5;0
2353.5;0
2356.5;0
2359.5;0
2362.5;0
2365.5;0
2368.5;0
2371.5;0
2374.5;0
2377.5;0
2380.5;0
2383.5;0
2386.5;0
2389.5;0
2392.5;0
2395.5;0
2398.5;0
2401.5;0
2404.5;0
2407.5;0
2410.5;0
2413.5;0
2416.5;0
2419.5;0
2422.5;0
2425.5;0
2428.5;0
2431.5;0
2434.5;0
2437.5;0
2440.5;0
2443.5;0
2446.5;0
2449.5;0
2452.5;0
2455.5;0
2458.5;0
2461.5;0
2464.5;0
2467.5;0
2470.5;0
2473.5;0
2476.5;0
2479.5;0
2482.5;0
2485.5;0
2488.5;0
2491.5;0
2494.5;0
2497.5;0
2500.5;0
2503.5;0
2506.5;0
2509.5;0
2512.5;0
2515.5;0
2518.5;0
2521.5;0
2524.5;0
2527.5;0
2530.5;0
2533.5;0
2536.5;0
2539.5;0
2542.5;0
2545.5;0
2548.5;0
2551.5;0
2554.5;0
2557.5;0
2560.5;0
2563.5;0
2566.5;0
2569.5;0
2572.5;0
2575.5;0
2578.5;0
2581.5;0
2584.5;0
2587.5;0
2590.5;0
2593.5;0
2596.5;0
2599.5;0
2602.5;0
2605.5;0
2608.5;0
2611.5;0
2614.5;0
2617.5;0
2620.5;0
2623.5;0
2626.5;0
2629.5;0
2632.5;0
2635.5;0
2638.5;0
2641.5;0
2644.5;0
2647.5;0
2650.5;0
2653.5;0
2656.5;0
2659.5;0
2662.5;0
2665.5;0
2668.5;0
2671.5;0
2674.5;0
2677.5;0
2680.5;0
2683.5;0
2686.5;0
2689.5;0
2692.5;0
2695.5;0
2698.5;0
2701.5;0
2704.5;0
2707.5;0
2710.5;0
2713.5;0
2716.5;0
2719.5;0
2722.5;0
2725.5;0
2728.5;0
2731.5;0
2734.5;0
2737.5;0
2740.5;0
2743.5;0
2746.5;0
2749.5;0
2752.5;0
2755.5;0
2758.5;0
2761.5;0
2764.5;0
2767.5;0
2770.5;0
2773.5;0
2776.5;0
2779.5;0
2782.5;0
2785.5;0
2788.5;0
2791.5;0
2794.5;0
2797.5;0
2800.5;0
2803.5;0
2806.5;0
2809.5;0
2812.5;0
2815.5;0
2818.5;0
2821.5;0
2824.5;0
2827.5;0
2830.5;0
2833.5;0
2836.5;0
2839.5;0
2842.5;0
2845.5;0
2848.5;0
2851.5;0
2854.5;0
2857.5;0
2860.5;0
2863.5;0
2866.5;0
2869.5;0
2872.5;0
2875.5;0
2878.5;0
2881.5;0
2884.5;0
2887.5;0
2890.5;0
2893.5;0
2896.5;0
2899.5;0
2902.5;0
2905.5;0
2908.5;0
2911.5;0
2914.5;0
2917.5;0
2920.5;0
2923.5;0
2926.5;0
2929.5;0
2932.5;0
2935.5;0
2938.5;0
2941.5;0
2944.5;0
2947.5;0
2950.5;0
2953.5;0
2956.5;0
2959.5;0
2962.5;0
2965.5;0
2968.5;0
2971.5;0
2974.5;0
2977.5;0
2980.5;0
2983.5;0
2986.5;0
2989.5;0
2992.5;0
2995.5;0
2998.5;0
3001.5;0
3004.5;0
3007.5;0
3010.5;0
3013.5;0
3016.5;0
3019.5;0
3022.5;0
3025.5;0
3028.5;0
3031.5;0
3034.5;0
3037.5;0
3040.5;0
3043.5;0
3046.5;0
3049.5;0
3052.5;0
3055.5;0
3058.5;0
3061.5;0
3064.5;0
3067.5;0
3070.5;0
3073.5;0
3076.5;0
3079.5;0
3082.5;0
3085.5;0
3088.5;0
3091.5;0
3094.5;0
3097.5;0
3100.5;0
3103.5;0
3106.5;0
3109.5;0
3112.5;0
3115.5;0
3118.5;0
3121.5;0
3124.5;0
3127.5;1
3130.5;0
3133.5;0
3136.5;0
3139.5;0
3142.5;0
3145.5;0
3148.5;0
3151.5;0
3154.5;0
3157.5;0
3160.5;0
3163.5;0
3166.5;0
3169.5;0
3172.5;0
3175.5;0
3178.5;0
3181.5;0
3184.5;0
3187.5;0
3190.5;0
3193.5;0
3196.5;0
3199.5;0
3202.5;0
3205.5;0
3208.5;0
3211.5;0
3214.5;0
3217.5;0
3220.5;0
3223.5;0
3226.5;0
3229.5;0
3232.5;0
3235.5;0
3238.5;0
3241.5;0
3244.5;0
3247.5;0
3250.5;0
3253.5;0
3256.5;0
3259.5;0
3262.5;0
3265.5;0
3268.5;0
3271.5;0
3274.5;0
3277.5;0
3280.5;0
3283.5;0
3286.5;0
3289.5;0
3292.5;0
3295.5;0
3298.5;0
3301.5;0
3304.5;0
3307.5;0
3310.5;0
3313.5;0
3316.5;0
3319.5;0
3322.5;0
3325.5;0
3328.5;0
3331.5;0
3334.5;0
3337.5;0
3340.5;0
3343.5;0
3346.5;0
3349.5;0
3352.5;0
3355.5;0
3358.5;0
3361.5;0
3364.5;0
3367.5;0
3370.5;0
3373.5;0
3376.5;0
3379.5;0
3382.5;0
3385.5;0
3388.5;0
3391.5;0
3394.5;0
3397.5;0
3400.5;0
3403.5;0
3406.5;0
3409.5;0
3412.5;0
3415.5;0
3418.5;0
3421.5;0
3424.5;0
3427.5;0
3430.5;0
3433.5;0
3436.5;0
3439.5;0
3442.5;0
3445.5;0
3448.5;0
3451.5;0
3454.5;0
3457.5;0
3460.5;0
3463.5;0
3466.5;0
3469.5;0
3472.5;0
3475.5;0
3478.5;0
3481.5;0
3484.5;0
3487.5;0
3490.5;0
3493.5;0
3496.5;0
3499.5;0
3502.5;0
3505.5;0
3508.5;0
3511.5;0
3514.5;0
3517.5;0
3520.5;0
3523.5;0
3526.5;0
3529.5;0
3532.5;0
3535.5;0
3538.5;0
3541.5;0
3544.5;0
3547.5;0
3550.5;0
3553.5;0
3556.5;0
3559.5;0
3562.5;0
3565.5;0
3568.5;0
3571.5;0
3574.5;0
3577.5;0
3580.5;0
3583.5;0
3586.5;0
3589.5;0
3592.5;0
3595.5;0
3598.5;0
3601.5;0
3604.5;0
3607.5;0
3610.5;0
3613.5;0
3616.5;0
3619.5;0
3622.5;0
3625.5;0
3628.5;0
3631.5;0
3634.5;0
3637.5;0
3640.5;0
3643.5;0
3646.5;0
3649.5;0
3652.5;0
3655.5;0
3658.5;0
3661.5;0
3664.5;0
3667.5;0
3670.5;0
3673.5;0
3676.5;0
3679.5;0
3682.5;0
3685.5;0
3688.5;0
3691.5;0
3694.5;0
3697.5;0
3700.5;0
3703.5;0
3706.5;0
3709.5;0
3712.5;0
3715.5;0
3718.5;0
3721.5;0
3724.5;0
3727.5;0
3730.5;0
3733.5;0
3736.5;0
3739.5;0
3742.5;0
3745.5;0
3748.5;0
3751.5;0
3754.5;0
3757.5;0
3760.5;0
3763.5;0
3766.5;0
3769.5;0
3772.5;0
3775.5;0
3778.5;0
3781.5;0
3784.5;0
3787.5;0
3790.5;0
3793.5;0
3796.5;0
3799.5;0
3802.5;0
3805.5;0
3808.5;0
3811.5;0
3814.5;0
3817.5;0
3820.5;0
3823.5;0
3826.5;0
3829.5;0
3832.5;0
3835.5;0
3838.5;0
3841.5;0
3844.5;0
3847.5;0
3850.5;0
3853.5;0
3856.5;0
3859.5;0
3862.5;0
3865.5;0
3868.5;0
3871.5;0
3874.5;0
3877.5;0
3880.5;0
3883.5;0
3886.5;0
3889.5;0
3892.5;0
3895.5;0
3898.5;0
3901.5;0
3904.5;0
3907.5;0
3910.5;0
3913.5;1
3916.5;0
3919.5;0
3922.5;0
3925.5;0
3928.5;0
3931.5;0
3934.5;0
3937.5;0
3940.5;0
3943.5;0
3946.5;0
3949.5;0
3952.5;0
3955.5;0
3958.5;1
3961.5;0
3964.5;0
3967.5;1
3970.5;1
3973.5;1
3976.5;1
3979.5;0
3982.5;1
3985.5;0
3988.5;0
3991.5;1
3994.5;0
3997.5;0
4000.5;0
4003.5;1
4006.5;0
4009.5;0
4012.5;0
4015.5;4
4018.5;1
4021.5;2
4024.5;1
4027.5;2
4030.5;3
4033.5;2
4036.5;3
4039.5;2
4042.5;0
4045.5;0
4048.5;0
4051.5;1
4054.5;2
4057.5;1
4060.5;0
4063.5;0
4066.5;0
4069.5;1
4072.5;0
4075.5;1
4078.5;3
4081.5;0
4084.5;0
4087.5;1
4090.5;0
4093.5;0
4096.5;1
4099.5;0
4102.5;1
4105.5;0
4108.5;1
4111.5;0
4114.5;0
4117.5;0
4120.5;0
4123.5;0
4126.5;1
4129.5;0
4132.5;0
4135.5;0
4138.5;0
4141.5;0
4144.5;0
4147.5;0
4150.5;1
4153.5;0
4156.5;0
4159.5;0
4162.5;0
4165.5;1
4168.5;0
4171.5;0
4174.5;0
4177.5;1
4180.5;0
4183.5;0
4186.5;0
4189.5;0
4192.5;0
4195.5;0
4198.5;2
4201.5;0
4204.5;0
4207.5;3
4210.5;1
4213.5;3
4216.5;3
4219.5;2
4222.5;6
4225.5;5
4228.5;5
4231.5;5
4234.5;3
4237.5;4
4240.5;2
4243.5;4
4246.5;4
4249.5;3
4252.5;5
4255.5;5
4258.5;4
4261.5;1
4264.5;1
4267.5;2
4270.5;4
4273.5;2
4276.5;2
4279.5;1
4282.5;0
4285.5;0
4288.5;0
4291.5;0
4294.5;0
4297.5;0
4300.5;0
4303.5;0
4306.5;0
4309.5;0
4312.5;0
4315.5;0
4318.5;0
4321.5;0
4324.5;1
4327.5;0
4330.5;0
4333.5;1
4336.5;0
4339.5;1
4342.5;0
4345.5;0
4348.5;0
4351.5;0
4354.5;0
4357.5;0
4360.5;0
4363.5;1
4366.5;0
4369.5;0
4372.5;1
4375.5;1
4378.5;0
4381.5;0
4384.5;0
4387.5;0
4390.5;0
4393.5;0
4396.5;0
4399.5;0
4402.5;0
4405.5;0
4408.5;0
4411.5;1
4414.5;0
4417.5;0
4420.5;0
4423.5;0
4426.5;0
4429.5;1
4432.5;0
4435.5;0
4438.5;0
4441.5;0
4444.5;0
4447.5;1
4450.5;1
4453.5;0
4456.5;0
4459.5;0
4462.5;1
4465.5;0
4468.5;0
4471.5;1
4474.5;1
4477.5;1
4480.5;0
4483.5;0
4486.5;0
4489.5;0
4492.5;0
4495.5;0
4498.5;0
4501.5;1
4504.5;0
4507.5;0
4510.5;0
4513.5;0
4516.5;0
4519.5;0
4522.5;1
4525.5;2
4528.5;1
4531.5;5
4534.5;6
4537.5;5
4540.5;3
4543.5;2
4546.5;6
4549.5;5
4552.5;3
4555.5;6
4558.5;5
4561.5;9
4564.5;9
4567.5;8
4570.5;8
4573.5;6
4576.5;12
4579.5;9
4582.5;5
4585.5;7
4588.5;4
4591.5;7
4594.5;4
4597.5;1
4600.5;2
4603.5;2
4606.5;3
4609.5;3
4612.5;3
4615.5;1
4618.5;0
4621.5;2
4624.5;1
4627.5;0
4630.5;0
4633.5;1
4636.5;1
4639.5;2
4642.5;0
4645.5;0
4648.5;1
4651.5;0
4654.5;2
4657.5;0
4660.5;0
4663.5;0
4666.5;0
4669.5;2
4672.5;0
4675.5;0
4678.5;1
4681.5;1
4684.5;0
4687.5;0
4690.5;0
4693.5;1
4696.5;0
4699.5;1
4702.5;0
4705.5;0
4708.5;1
4711.5;0
4714.5;1
4717.5;1
4720.5;0
4723.5;0
4726.5;1
4729.5;1
4732.5;0
4735.5;2
4738.5;0
4741.5;3
4744.5;2
4747.5;2
4750.5;4
4753.5;2
4756.5;3
4759.5;0
4762.5;3
4765.5;2
4768.5;0
4771.5;2
4774.5;3
4777.5;2
4780.5;0
4783.5;0
4786.5;1
4789.5;0
4792.5;1
4795.5;1
4798.5;1
4801.5;0
4804.5;1
4807.5;0
4810.5;0
4813.5;0
4816.5;0
4819.5;0
4822.5;1
4825.5;0
4828.5;0
4831.5;0
4834.5;0
4837.5;0
4840.5;1
4843.5;1
4846.5;0
4849.5;0
4852.5;0
4855.5;0
4858.5;0
4861.5;2
4864.5;1
4867.5;0
4870.5;0
4873.5;0
4876.5;0
4879.5;1
4882.5;0
4885.5;0
4888.5;0
4891.5;0
4894.5;0
4897.5;1
4900.5;0
4903.5;0
4906.5;0
4909.5;0
4912.5;1
4915.5;2
4918.5;2
4921.5;1
4924.5;3
4927.5;2
4930.5;3
4933.5;4
4936.5;1
4939.5;2
4942.5;5
4945.5;5
4948.5;2
4951.5;1
4954.5;1
4957.5;5
4960.5;1
4963.5;2
4966.5;6
4969.5;1
4972.5;0
4975.5;1
4978.5;1
4981.5;1
4984.5;1
4987.5;1
4990.5;0
4993.5;0
4996.5;1
4999.5;0
5002.5;0
5005.5;0
5008.5;0
5011.5;0
5014.5;0
5017.5;0
5020.5;0
5023.5;1
5026.5;0
5029.5;1
5032.5;0
5035.5;0
5038.5;0
5041.5;0
5044.5;0
5047.5;0
5050.5;0
5053.5;0
5056.5;2
5059.5;0
5062.5;0
5065.5;0
5068.5;0
5071.5;1
5074.5;1
5077.5;0
5080.5;0
5083.5;1
5086.5;0
5089.5;0
5092.5;0
5095.5;1
5098.5;0
5101.5;1
5104.5;0
5107.5;0
5110.5;0
5113.5;0
5116.5;0
5119.5;0
5122.5;0
5125.5;0
5128.5;0
5131.5;0
5134.5;0
5137.5;1
5140.5;0
5143.5;0
5146.5;0
5149.5;0
5152.5;0
5155.5;0
5158.5;0
5161.5;0
5164.5;0
5167.5;0
5170.5;1
5173.5;0
5176.5;0
5179.5;0
5182.5;0
5185.5;1
5188.5;1
5191.5;0
5194.5;1
5197.5;1
5200.5;0
5203.5;0
5206.5;0
5209.5;0
5212.5;0
5215.5;2
5218.5;1
5221.5;0
5224.5;0
5227.5;1
5230.5;1
5233.5;1
5236.5;2
5239.5;1
5242.5;0
5245.5;1
5248.5;1
5251.5;2
5254.5;0
5257.5;1
5260.5;0
5263.5;2
5266.5;0
5269.5;1
5272.5;0
5275.5;1
5278.5;1
5281.5;4
5284.5;0
5287.5;0
5290.5;1
5293.5;1
5296.5;1
5299.5;0
5302.5;0
5305.5;0
5308.5;0
5311.5;0
5314.5;0
5317.5;0
5320.5;0
5323.5;0
5326.5;0
5329.5;0
5332.5;0
5335.5;0
5338.5;0
5341.5;0
5344.5;0
5347.5;0
5350.5;0
5353.5;0
5356.5;0
5359.5;0
5362.5;0
5365.5;0
5368.5;0
5371.5;0
5374.5;0
5377.5;0
5380.5;0
5383.5;0
5386.5;0
5389.5;0
5392.5;2
5395.5;0
5398.5;0
5401.5;0
5404.5;0
5407.5;0
5410.5;0
5413.5;0
5416.5;1
5419.5;0
5422.5;0
5425.5;1
5428.5;0
5431.5;1
5434.5;0
5437.5;0
5440.5;0
5443.5;1
5446.5;0
5449.5;0
5452.5;0
5455.5;0
5458.5;0
5461.5;0
5464.5;0
5467.5;0
5470.5;0
5473.5;0
5476.5;0
5479.5;0
5482.5;0
5485.5;0
5488.5;1
5491.5;1
5494.5;1
5497.5;0
5500.5;0
5503.5;0
5506.5;0
5509.5;0
5512.5;0
5515.5;0
5518.5;0
5521.5;1
5524.5;0
5527.5;0
5530.5;0
5533.5;1
5536.5;0
5539.5;0
5542.5;0
5545.5;0
5548.5;0
5551.5;0
5554.5;0
5557.5;1
5560.5;0
5563.5;0
5566.5;0
5569.5;0
5572.5;0
5575.5;0
5578.5;0
5581.5;0
5584.5;0
5587.5;0
5590.5;0
5593.5;0
5596.5;0
5599.5;0
5602.5;0
5605.5;0
5608.5;0
5611.5;0
5614.5;0
5617.5;0
5620.5;0
5623.5;0
5626.5;0
5629.5;0
5632.5;0
5635.5;1
5638.5;0
5641.5;0
5644.5;0
5647.5;0
5650.5;0
5653.5;0
5656.5;1
5659.5;0
5662.5;0
5665.5;0
5668.5;0
5671.5;0
5674.5;0
5677.5;0
5680.5;0
5683.5;0
5686.5;0
5689.5;0
5692.5;0
5695.5;0
5698.5;0
5701.5;0
5704.5;0
5707.5;0
5710.5;0
5713.5;0
5716.5;0
5719.5;1
5722.5;0
5725.5;0
5728.5;0
5731.5;0
5734.5;1
5737.5;1
5740.5;0
5743.5;0
5746.5;1
5749.5;2
5752.5;0
5755.5;0
5758.5;2
5761.5;1
5764.5;3
5767.5;4
5770.5;7
5773.5;3
5776.5;5
5779.5;5
5782.5;5
5785.5;8
5788.5;8
5791.5;6
5794.5;5
5797.5;7
5800.5;3
5803.5;4
5806.5;2
5809.5;3
5812.5;5
5815.5;1
5818.5;2
5821.5;1
5824.5;0
5827.5;0
5830.5;1
5833.5;1
5836.5;0
5839.5;0
5842.5;0
5845.5;0
5848.5;0
5851.5;0
5854.5;0
5857.5;0
5860.5;0
5863.5;0
5866.5;0
5869.5;0
5872.5;0
5875.5;0
5878.5;0
5881.5;0
5884.5;0
5887.5;0
5890.5;0
5893.5;0
5896.5;0
5899.5;0
5902.5;0
5905.5;1
5908.5;0
5911.5;2
5914.5;0
5917.5;0
5920.5;0
5923.5;1
5926.5;0
5929.5;0
5932.5;0
5935.5;0
5938.5;0
5941.5;0
5944.5;0
5947.5;0
5950.5;0
5953.5;0
5956.5;0
5959.5;0
5962.5;0
5965.5;0
5968.5;0
5971.5;0
5974.5;0
5977.5;0
5980.5;0
5983.5;0
5986.5;0
5989.5;0
5992.5;0
5995.5;0
5998.5;0
6001.5;0
6004.5;0
6007.5;0
6010.5;0
6013.5;0
6016.5;0
6019.5;0
6022.5;0
6025.5;0
6028.5;0
6031.5;0
6034.5;0
6037.5;0
6040.5;0
6043.5;0
6046.5;0
6049.5;0
6052.5;0
6055.5;0
6058.5;0
6061.5;0
6064.5;0
6067.5;0
6070.5;0
6073.5;0
6076.5;0
6079.5;0
6082.5;0
6085.5;0
6088.5;0
6091.5;0
6094.5;0
6097.5;0
6100.5;0
6103.5;0
6106.5;0
6109.5;0
6112.5;0
6115.5;0
6118.5;0
6121.5;0
6124.5;0
