Bin (cents); Number of Annotations (#)
1.5;0
4.5;0
7.5;0
10.5;0
13.5;0
16.5;0
19.5;0
22.5;0
25.5;0
28.5;0
31.5;0
34.5;0
37.5;0
40.5;0
43.5;0
46.5;0
49.5;0
52.5;0
55.5;0
58.5;0
61.5;0
64.5;0
67.5;0
70.5;0
73.5;0
76.5;0
79.5;0
82.5;0
85.5;0
88.5;0
91.5;0
94.5;0
97.5;0
100.5;0
103.5;0
106.5;0
109.5;0
112.5;0
115.5;0
118.5;0
121.5;0
124.5;0
127.5;0
130.5;0
133.5;0
136.5;0
139.5;0
142.5;0
145.5;0
148.5;0
151.5;0
154.5;0
157.5;0
160.5;0
163.5;0
166.5;0
169.5;0
172.5;0
175.5;0
178.5;0
181.5;0
184.5;0
187.5;0
190.5;0
193.5;0
196.5;0
199.5;0
202.5;0
205.5;0
208.5;0
211.5;0
214.5;0
217.5;0
220.5;0
223.5;0
226.5;0
229.5;0
232.5;0
235.5;0
238.5;0
241.5;0
244.5;0
247.5;0
250.5;0
253.5;0
256.5;0
259.5;0
262.5;0
265.5;0
268.5;0
271.5;0
274.5;0
277.5;0
280.5;0
283.5;0
286.5;0
289.5;0
292.5;0
295.5;0
298.5;0
301.5;0
304.5;0
307.5;0
310.5;0
313.5;0
316.5;0
319.5;0
322.5;0
325.5;0
328.5;0
331.5;0
334.5;0
337.5;0
340.5;0
343.5;0
346.5;0
349.5;0
352.5;0
355.5;0
358.5;0
361.5;0
364.5;0
367.5;0
370.5;0
373.5;0
376.5;0
379.5;0
382.5;0
385.5;0
388.5;0
391.5;0
394.5;0
397.5;0
400.5;0
403.5;0
406.5;0
409.5;0
412.5;0
415.5;0
418.5;0
421.5;0
424.5;0
427.5;0
430.5;0
433.5;0
436.5;0
439.5;0
442.5;0
445.5;0
448.5;0
451.5;0
454.5;0
457.5;0
460.5;0
463.5;0
466.5;0
469.5;0
472.5;0
475.5;0
478.5;0
481.5;0
484.5;0
487.5;0
490.5;0
493.5;0
496.5;0
499.5;0
502.5;0
505.5;0
508.5;0
511.5;0
514.5;0
517.5;0
520.5;0
523.5;0
526.5;0
529.5;0
532.5;0
535.5;0
538.5;0
541.5;0
544.5;0
547.5;0
550.5;0
553.5;0
556.5;0
559.5;0
562.5;0
565.5;0
568.5;0
571.5;0
574.5;0
577.5;0
580.5;0
583.5;0
586.5;0
589.5;0
592.5;0
595.5;0
598.5;0
601.5;0
604.5;0
607.5;0
610.5;0
613.5;0
616.5;0
619.5;0
622.5;0
625.5;0
628.5;0
631.5;0
634.5;0
637.5;0
640.5;0
643.5;0
646.5;0
649.5;0
652.5;0
655.5;0
658.5;0
661.5;0
664.5;0
667.5;0
670.5;0
673.5;0
676.5;0
679.5;0
682.5;0
685.5;0
688.5;0
691.5;0
694.5;0
697.5;0
700.5;0
703.5;0
706.5;0
709.5;0
712.5;0
715.5;0
718.5;0
721.5;0
724.5;0
727.5;0
730.5;0
733.5;0
736.5;0
739.5;0
742.5;0
745.5;0
748.5;0
751.5;0
754.5;0
757.5;0
760.5;0
763.5;0
766.5;0
769.5;0
772.5;0
775.5;0
778.5;0
781.5;0
784.5;0
787.5;0
790.5;0
793.5;0
796.5;0
799.5;0
802.5;0
805.5;0
808.5;0
811.5;0
814.5;0
817.5;0
820.5;0
823.5;0
826.5;0
829.5;0
832.5;0
835.5;0
838.5;0
841.5;0
844.5;0
847.5;0
850.5;0
853.5;0
856.5;0
859.5;0
862.5;0
865.5;0
868.5;0
871.5;0
874.5;0
877.5;0
880.5;0
883.5;0
886.5;0
889.5;0
892.5;0
895.5;0
898.5;0
901.5;0
904.5;0
907.5;0
910.5;0
913.5;0
916.5;0
919.5;0
922.5;0
925.5;0
928.5;0
931.5;0
934.5;0
937.5;0
940.5;0
943.5;0
946.5;0
949.5;0
952.5;0
955.5;0
958.5;0
961.5;0
964.5;0
967.5;0
970.5;0
973.5;0
976.5;0
979.5;0
982.5;0
985.5;0
988.5;0
991.5;0
994.5;0
997.5;0
1000.5;0
1003.5;0
1006.5;0
1009.5;0
1012.5;0
1015.5;0
1018.5;0
1021.5;0
1024.5;0
1027.5;0
1030.5;0
1033.5;0
1036.5;0
1039.5;0
1042.5;0
1045.5;0
1048.5;0
1051.5;0
1054.5;0
1057.5;0
1060.5;0
1063.5;0
1066.5;0
1069.5;0
1072.5;0
1075.5;0
1078.5;0
1081.5;0
1084.5;0
1087.5;0
1090.5;0
1093.5;0
1096.5;0
1099.5;0
1102.5;0
1105.5;0
1108.5;0
1111.5;0
1114.5;0
1117.5;0
1120.5;0
1123.5;0
1126.5;0
1129.5;0
1132.5;0
1135.5;0
1138.5;0
1141.5;0
1144.5;0
1147.5;0
1150.5;0
1153.5;0
1156.5;0
1159.5;0
1162.5;0
1165.5;0
1168.5;0
1171.5;0
1174.5;0
1177.5;0
1180.5;0
1183.5;0
1186.5;0
1189.5;0
1192.5;0
1195.5;0
1198.5;0
1201.5;0
1204.5;0
1207.5;0
1210.5;0
1213.5;0
1216.5;0
1219.5;0
1222.5;0
1225.5;0
